,tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
1981,672267570918129665,1412,580,8855844,17,Twitter for iPhone,Original tweet,https://t.co/jDXxZARQIZ
1982,672264251789176834,1081,314,8855844,17,Twitter for iPhone,Original tweet,https://t.co/TUeuaOmunV
1983,672256522047614977,2683,1442,8855844,17,Twitter for iPhone,Original tweet,https://t.co/PoMKKnKpRd
1984,672254177670729728,1365,697,8855844,17,Twitter for iPhone,Original tweet,https://t.co/OO6MqEbqG3
1985,672248013293752320,1647,564,8855845,17,Twitter for iPhone,Original tweet,https://t.co/uhx5gfpx5k
1986,672245253877968896,647,144,8855845,17,Twitter for iPhone,Original tweet,https://t.co/aCRKDaFmVr
1987,672239279297454080,853,302,8855845,17,Twitter for iPhone,Original tweet,https://t.co/UHJE0UgMf7
1988,672231046314901505,1731,948,8855845,17,Twitter for iPhone,Original tweet,https://t.co/WH7Nzc5IBA
1989,672222792075620352,749,199,8855845,17,Twitter for iPhone,Original tweet,https://t.co/EW4MsOrF5O
1990,672205392827572224,2139,1081,8855845,17,Twitter for iPhone,Original tweet,https://t.co/yRBQF9OS7D
1991,672169685991993344,973,344,8855845,17,Twitter for iPhone,Original tweet,https://t.co/AjBkGTyCeO
1992,672160042234327040,835,336,8855845,17,Twitter for iPhone,Original tweet,https://t.co/aNkkl5nH3W
1993,672139350159835138,1649,653,8855845,17,Twitter for iPhone,Original tweet,https://t.co/0OI927mmNJ
1994,672125275208069120,2265,1074,8855845,17,Twitter for iPhone,Original tweet,https://t.co/LquQZiZjJP
1995,672095186491711488,944,342,8855845,17,Twitter for iPhone,Original tweet,https://t.co/ujnWy26RMe
1996,672082170312290304,898,344,8855845,17,Twitter for iPhone,Original tweet,https://t.co/WTJtf9O8Jg
1997,672068090318987265,1225,477,8855845,17,Twitter for iPhone,Original tweet,https://t.co/XkMtCGhr4a
1998,671896809300709376,8075,3926,8855845,17,Twitter for iPhone,Original tweet,https://t.co/eqmkr2gmPH
1999,671891728106971137,1247,536,8855845,17,Twitter for iPhone,Original tweet,https://t.co/dzZYx2NByW
2000,671882082306625538,3288,1304,8855845,17,Twitter for iPhone,Original tweet,https://t.co/Clg16EVy9O
2001,671879137494245376,1341,625,8855845,17,Twitter for iPhone,Original tweet,https://t.co/vPXKSaNsbE
2002,671874878652489728,1190,519,8855845,17,Twitter for iPhone,Original tweet,https://t.co/3J7wkwW4FG
2003,671866342182637568,1060,461,8855845,17,Twitter for iPhone,Original tweet,https://t.co/FWJQ1zQLiI
2004,671855973984772097,853,407,8855845,17,Twitter for iPhone,Original tweet,https://t.co/gpWLdbposg
2005,671789708968640512,6701,3251,8855845,17,Twitter for iPhone,Original tweet,https://t.co/SfPQ2KeLdq
2006,671768281401958400,1128,461,8855845,17,Twitter for iPhone,Original tweet,https://t.co/TASnD8Q08S
2007,671763349865160704,1585,847,8855845,17,Twitter for iPhone,Original tweet,https://t.co/m9NleZ1i80
2008,671744970634719232,1281,714,8856490,17,Twitter for iPhone,Original tweet,https://t.co/wwwYO9C9kl
2009,671743150407421952,715,223,8855845,17,Twitter for iPhone,Original tweet,https://t.co/2IslQ8ZSc7
2010,671735591348891648,1369,705,8855845,17,Twitter for iPhone,Original tweet,https://t.co/TON0Irzgwr
2011,671729906628341761,8058,4083,8855845,17,Twitter for iPhone,Original tweet,https://t.co/DaD5SyajWt
2012,671561002136281088,12114,6792,8855845,17,Twitter for iPhone,Original tweet,https://t.co/q6RsuOVYwU
2013,671550332464455680,863,197,8855845,17,Twitter for iPhone,Original tweet,s
2014,671547767500775424,1275,551,8855845,17,Twitter for iPhone,Original tweet,https://t.co/f99MV0htAV
2015,671544874165002241,1860,985,8855845,17,Twitter for iPhone,Original tweet,https://t.co/QVaEMsB9tS
2016,671542985629241344,1033,529,8855845,17,Twitter for iPhone,Original tweet,https://t.co/zzueJV9jCF
2017,671538301157904385,879,361,8855845,17,Twitter for iPhone,Original tweet,https://t.co/fUuiyu2QTD
2018,671536543010570240,1108,379,8855845,17,Twitter for iPhone,Original tweet,https://t.co/1U5Ro5FA4c
2019,671533943490011136,964,543,8855845,17,Twitter for iPhone,Original tweet,https://t.co/pcx8jm1J1K
2020,671528761649688577,794,240,8855845,17,Twitter for iPhone,Original tweet,https://t.co/HwiLcDPaCi
2021,671520732782923777,1321,496,8855846,17,Twitter for iPhone,Original tweet,https://t.co/C7dPcCUNpF
2022,671518598289059840,895,277,8855846,17,Twitter for iPhone,Original tweet,https://t.co/nLQoltwEZ7
2023,671511350426865664,1504,661,8855846,17,Twitter for iPhone,Original tweet,https://t.co/OgDF2ES3Q9
2024,671504605491109889,6618,3345,8855846,17,Twitter for iPhone,Original tweet,https://t.co/mGW5c50mPA
2025,671497587707535361,870,420,8855846,17,Twitter for iPhone,Original tweet,https://t.co/EY1uZJUGYJ
2026,671488513339211776,947,449,8855846,17,Twitter for iPhone,Original tweet,https://t.co/CwUK5AIgeD
2027,671486386088865792,549,183,8855846,17,Twitter for iPhone,Original tweet,https://t.co/ympkwF65Dx
2028,671485057807351808,721,220,8855846,17,Twitter for iPhone,Original tweet,https://t.co/CqcRagJlyS
2029,671390180817915904,1365,697,8855846,17,Twitter for iPhone,Original tweet,https://t.co/U1mSS3Ykez
2030,671362598324076544,1050,278,8855846,17,Twitter for iPhone,Original tweet,https://t.co/onC3uMpFF2
2031,671357843010908160,378,145,8855846,17,Twitter for iPhone,Original tweet,https://t.co/lS1TIDagIb
2032,671355857343524864,458,112,8855846,17,Twitter for iPhone,Original tweet,https://t.co/FoCULrC3rD
2033,671347597085433856,905,397,8855846,17,Twitter for iPhone,Original tweet,https://t.co/svlkUlg3NH
2034,671186162933985280,694,193,8855846,17,Twitter for iPhone,Original tweet,https://t.co/96tMaWyoWt
2035,671182547775299584,1056,315,8855846,17,Twitter for iPhone,Original tweet,https://t.co/F7xwE0wmnu
2036,671166507850801152,828,323,8855846,17,Twitter for iPhone,Original tweet,https://t.co/gFl60yFJ0w
2037,671163268581498880,1557,1029,8855846,17,Twitter for iPhone,Original tweet,https://t.co/U7DQQdZ0mX
2038,671159727754231808,345,74,8855846,17,Twitter for iPhone,Original tweet,https://t.co/iHLo9rGay1
2039,671154572044468225,670,206,8855846,17,Twitter for iPhone,Original tweet,https://t.co/RcksaUrGNu
2040,671151324042559489,629,141,8855846,17,Twitter for iPhone,Original tweet,https://t.co/NKHx0pcOii
2041,671147085991960577,629,202,8855846,17,Twitter for iPhone,Original tweet,https://t.co/34OhVhMkVr
2042,671141549288370177,1090,617,8855846,17,Twitter for iPhone,Original tweet,https://t.co/HYR611wiA4
2043,671138694582165504,877,374,8855846,17,Twitter for iPhone,Original tweet,https://t.co/ycVJyFFkES
2044,671134062904504320,703,178,8855846,17,Twitter for iPhone,Original tweet,https://t.co/BHxr9O7wJY
2045,671122204919246848,3297,2347,8855846,17,Twitter for iPhone,Original tweet,https://t.co/WzVLdSHJU7
2046,671115716440031232,1296,726,8855846,17,Twitter for iPhone,Original tweet,https://t.co/mZD7Bo7HfV
2047,671109016219725825,1082,408,8855846,17,Twitter for iPhone,Original tweet,https://t.co/sYi2G0he4H
2048,670995969505435648,1050,272,8855846,17,Twitter for iPhone,Original tweet,https://t.co/N9W5L7BLTm
